[MC-INFO], MiningRunTime:2460min, NumOfUnloadStations:3, NumOfTrucks:11, PROCESSING_TICK:30, 

[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:45:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:105:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:45:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:105:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:105:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:225:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:285:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:224:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:224:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:44:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:104:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:44:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:224:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:224:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:104:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:104:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:224:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:284:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:223:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:223:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:43:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:103:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:43:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:223:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:223:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:103:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:103:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:223:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:283:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:222:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:222:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:42:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:102:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:42:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:222:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:222:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:102:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:102:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:222:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:282:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:221:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:221:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:41:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:101:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:41:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:221:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:221:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:101:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:101:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:221:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:281:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:220:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:220:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:40:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:100:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:40:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:220:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:220:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:100:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:100:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:220:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:280:min

[S-REPORT], UnloadStation_1, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_2, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min
[S-REPORT], UnloadStation_3, State:IDEL, TrucksInQueue:0, TotalWaitTime:0:min

[T-REPORT], Truck_1, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:219:min
[T-REPORT], Truck_2, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:219:min
[T-REPORT], Truck_3, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:39:min
[T-REPORT], Truck_4, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:99:min
[T-REPORT], Truck_5, State:LOADING, LoadingTime:60:min, LoadingTimeLeft:39:min
[T-REPORT], Truck_6, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:219:min
[T-REPORT], Truck_7, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:219:min
[T-REPORT], Truck_8, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:99:min
[T-REPORT], Truck_9, State:LOADING, LoadingTime:120:min, LoadingTimeLeft:99:min
[T-REPORT], Truck_10, State:LOADING, LoadingTime:240:min, LoadingTimeLeft:219:min
[T-REPORT], Truck_11, State:LOADING, LoadingTime:300:min, LoadingTimeLeft:279:min

